Date,BTC,US20Y
2019-01-02,3943.409424,2.830000
2019-01-03,3836.741211,2.750000
2019-01-04,3857.717529,2.830000
2019-01-07,4025.248291,2.860000
2019-01-08,4030.847900,2.880000
2019-01-09,4035.296387,2.900000
2019-01-10,3678.924561,2.920000
2019-01-11,3687.365479,2.900000
2019-01-14,3706.052246,2.910000
2019-01-15,3630.675293,2.920000
2019-01-16,3655.006836,2.920000
2019-01-17,3678.563965,2.930000
2019-01-18,3657.839355,2.950000
2019-01-22,3604.577148,2.910000
2019-01-23,3585.123047,2.930000
2019-01-24,3600.865479,2.890000
2019-01-25,3599.765869,2.920000
2019-01-28,3470.450439,2.920000
2019-01-29,3448.116943,2.900000
2019-01-30,3486.181641,2.900000
2019-01-31,3457.792725,2.830000
2019-02-01,3487.945312,2.880000
2019-02-04,3459.154053,2.920000
2019-02-05,3466.357422,2.890000
2019-02-06,3413.767822,2.880000
2019-02-07,3399.471680,2.850000
2019-02-08,3666.780273,2.820000
2019-02-11,3648.430664,2.850000
2019-02-12,3653.528564,2.870000
2019-02-13,3632.070557,2.890000
2019-02-14,3616.880859,2.850000
2019-02-15,3620.810791,2.840000
2019-02-19,3947.094482,2.840000
2019-02-20,3999.820557,2.840000
2019-02-21,3954.118164,2.890000
2019-02-22,4005.526611,2.860000
2019-02-25,3882.696289,2.870000
2019-02-26,3854.357910,2.840000
2019-02-27,3851.047363,2.910000
2019-02-28,3854.785400,2.940000
2019-03-01,3859.583740,2.970000
2019-03-04,3761.557129,2.930000
2019-03-05,3896.375000,2.930000
2019-03-06,3903.942627,2.900000
2019-03-07,3911.484375,2.860000
2019-03-08,3901.131592,2.830000
2019-03-11,3905.227295,2.860000
2019-03-12,3909.156250,2.820000
2019-03-13,3906.717285,2.820000
2019-03-14,3924.369141,2.860000
2019-03-15,3960.911133,2.830000
2019-03-18,4032.507324,2.830000
2019-03-19,4071.190186,2.840000
2019-03-20,4087.476318,2.790000
2019-03-21,4029.326904,2.780000
2019-03-22,4023.968262,2.690000
2019-03-25,3963.070557,2.680000
2019-03-26,3985.080811,2.670000
2019-03-27,4087.066162,2.630000
2019-03-28,4069.107178,2.620000
2019-03-29,4098.374512,2.630000
2019-04-01,4158.183105,2.710000
2019-04-02,4879.877930,2.700000
2019-04-03,4973.021973,2.750000
2019-04-04,4922.798828,2.740000
2019-04-05,5036.681152,2.720000
2019-04-08,5289.770996,2.740000
2019-04-09,5204.958496,2.730000
2019-04-10,5324.551758,2.710000
2019-04-11,5064.487793,2.740000
2019-04-12,5089.539062,2.780000
2019-04-15,5067.108398,2.770000
2019-04-16,5235.559570,2.810000
2019-04-17,5251.937988,2.810000
2019-04-18,5298.385742,2.780000
2019-04-22,5399.365234,2.820000
2019-04-23,5572.362305,2.810000
2019-04-24,5464.866699,2.760000
2019-04-25,5210.515625,2.760000
2019-04-26,5279.348145,2.740000
2019-04-29,5247.352539,2.780000
2019-04-30,5350.726562,2.750000
2019-05-01,5402.697266,2.740000
